Date;Pays;Filière;Valeur (TWh)
2016-11;Belgique;Consommation brute;7,522179898
2016-12;Belgique;Consommation brute;7,910747342
2017-01;Belgique;Consommation brute;8,481368389
2017-02;Belgique;Consommation brute;7,312527467
2017-03;Belgique;Consommation brute;7,649762607
2017-04;Belgique;Consommation brute;7,016734733
2017-05;Belgique;Consommation brute;6,9610504
2017-06;Belgique;Consommation brute;6,765263246
2017-07;Belgique;Consommation brute;6,682784056
2017-08;Belgique;Consommation brute;6,822938552
2017-09;Belgique;Consommation brute;6,839860953
2017-10;Belgique;Consommation brute;7,310666666
2017-11;Belgique;Consommation brute;7,643662765
2017-12;Belgique;Consommation brute;7,84711587
2018-01;Belgique;Consommation brute;8,009136583
2018-02;Belgique;Consommation brute;7,539327897
2018-03;Belgique;Consommation brute;7,952531771
2018-04;Belgique;Consommation brute;6,94097577
2018-05;Belgique;Consommation brute;7,013965904
2018-06;Belgique;Consommation brute;6,863302625
2018-07;Belgique;Consommation brute;6,998186137
2018-08;Belgique;Consommation brute;6,933701546
2018-09;Belgique;Consommation brute;6,838569584
2018-10;Belgique;Consommation brute;7,268145233
2018-11;Belgique;Consommation brute;7,466368422
2018-12;Belgique;Consommation brute;7,663675458
2019-01;Belgique;Consommation brute;8,223418068
2019-02;Belgique;Consommation brute;7,12999087
2019-03;Belgique;Consommation brute;7,431673581
2019-04;Belgique;Consommation brute;6,814056455
2019-05;Belgique;Consommation brute;6,889979869
2019-06;Belgique;Consommation brute;6,546431197
2019-07;Belgique;Consommation brute;6,669408267
2019-08;Belgique;Consommation brute;6,60160749
2019-09;Belgique;Consommation brute;6,664889231
2019-10;Belgique;Consommation brute;7,110658662
2019-11;Belgique;Consommation brute;7,336305681
2019-12;Belgique;Consommation brute;7,530736924
2020-01;Belgique;Consommation brute;7,804931586
2020-02;Belgique;Consommation brute;7,054149191
2020-03;Belgique;Consommation brute;6,930791915
2020-04;Belgique;Consommation brute;5,913228465
2020-05;Belgique;Consommation brute;6,268034628
2020-06;Belgique;Consommation brute;6,297755608
2020-07;Belgique;Consommation brute;6,32008346
2020-08;Belgique;Consommation brute;6,593661825
2020-09;Belgique;Consommation brute;6,532037273
2020-10;Belgique;Consommation brute;6,929378522
2020-11;Belgique;Consommation brute;7,009859841
2020-12;Belgique;Consommation brute;7,487656866
2021-01;Belgique;Consommation brute;8,046288852
2021-02;Belgique;Consommation brute;7,069099574
2021-03;Belgique;Consommation brute;7,310397176
2021-04;Belgique;Consommation brute;6,937104224
2021-05;Belgique;Consommation brute;6,771927537
2021-06;Belgique;Consommation brute;6,652654355
2021-07;Belgique;Consommation brute;6,538336243
2021-08;Belgique;Consommation brute;6,611740095
2021-09;Belgique;Consommation brute;6,66478551
2021-10;Belgique;Consommation brute;7,05921211
2021-11;Belgique;Consommation brute;7,241725137
2021-12;Belgique;Consommation brute;7,553058132
2022-01;Belgique;Consommation brute;7,929442235
2022-02;Belgique;Consommation brute;7,003801714
2022-03;Belgique;Consommation brute;7,155911797
2022-04;Belgique;Consommation brute;6,71675072
2022-05;Belgique;Consommation brute;6,738153975
2022-06;Belgique;Consommation brute;6,549273991
2022-07;Belgique;Consommation brute;6,420581115
2022-08;Belgique;Consommation brute;6,533294528
2022-09;Belgique;Consommation brute;6,402738197
2022-10;Belgique;Consommation brute;6,503769118
2022-11;Belgique;Consommation brute;6,541876042
2022-12;Belgique;Consommation brute;7,232045912
2023-01;Belgique;Consommation brute;7,448153007
2023-02;Belgique;Consommation brute;6,645252583
2023-03;Belgique;Consommation brute;7,172637066
2023-04;Belgique;Consommation brute;6,473847853
2023-05;Belgique;Consommation brute;6,211364699
2023-06;Belgique;Consommation brute;6,134265747
2023-07;Belgique;Consommation brute;5,919343036
2023-08;Belgique;Consommation brute;5,989119895
2023-09;Belgique;Consommation brute;6,263502404
2023-10;Belgique;Consommation brute;6,55512374
2023-11;Belgique;Consommation brute;6,930919097
2023-12;Belgique;Consommation brute;7,16173097
2024-01;Belgique;Consommation brute;7,702952584
2024-02;Belgique;Consommation brute;6,956774424
2024-03;Belgique;Consommation brute;7,068153359
2024-04;Belgique;Consommation brute;6,575102477
2024-05;Belgique;Consommation brute;6,426778788
2024-06;Belgique;Consommation brute;6,248471452
2024-07;Belgique;Consommation brute;6,225948462
2024-08;Belgique;Consommation brute;6,357825632
2024-09;Belgique;Consommation brute;6,40509981
2024-10;Belgique;Consommation brute;6,78871005
2024-11;Belgique;Consommation brute;6,998178781
2024-12;Belgique;Consommation brute;7,218096977
2025-01;Belgique;Consommation brute;7,779865506
2025-02;Belgique;Consommation brute;6,950427476
2025-03;Belgique;Consommation brute;6,765742481
2025-04;Belgique;Consommation brute;6,277164355
2025-05;Belgique;Consommation brute;6,256795408
2025-06;Belgique;Consommation brute;6,15943003
2025-07;Belgique;Consommation brute;6,244111245
2025-08;Belgique;Consommation brute;6,341265289
2025-09;Belgique;Consommation brute;6,44580964
2025-10;Belgique;Consommation brute;6,834585987
2025-11;Belgique;Consommation brute;6,814744287
2016-01;Bulgarie;Consommation brute;4,065013
2016-02;Bulgarie;Consommation brute;3,225756
2016-03;Bulgarie;Consommation brute;3,194474
2016-04;Bulgarie;Consommation brute;2,667805
2016-05;Bulgarie;Consommation brute;2,691462
2016-06;Bulgarie;Consommation brute;2,721192
2016-07;Bulgarie;Consommation brute;2,904876
2016-08;Bulgarie;Consommation brute;2,86383
2016-09;Bulgarie;Consommation brute;2,722989
2016-10;Bulgarie;Consommation brute;3,136047
2016-11;Bulgarie;Consommation brute;3,405992
2016-12;Bulgarie;Consommation brute;4,031723
2017-01;Bulgarie;Consommation brute;4,499896
2017-02;Bulgarie;Consommation brute;3,588074
2017-03;Bulgarie;Consommation brute;3,293815
2017-04;Bulgarie;Consommation brute;2,940936
2017-05;Bulgarie;Consommation brute;2,791432
2017-06;Bulgarie;Consommation brute;2,774651
2017-07;Bulgarie;Consommation brute;2,962146
2017-08;Bulgarie;Consommation brute;2,967115
2017-09;Bulgarie;Consommation brute;2,800159
2017-10;Bulgarie;Consommation brute;3,058948
2017-11;Bulgarie;Consommation brute;3,406647
2017-12;Bulgarie;Consommation brute;3,67643
2018-01;Bulgarie;Consommation brute;3,893815
2018-02;Bulgarie;Consommation brute;3,511716
2018-03;Bulgarie;Consommation brute;3,524323
2018-04;Bulgarie;Consommation brute;2,61428
2018-05;Bulgarie;Consommation brute;2,683
2018-06;Bulgarie;Consommation brute;2,791106
2018-07;Bulgarie;Consommation brute;2,910551
2018-08;Bulgarie;Consommation brute;2,949075
2018-09;Bulgarie;Consommation brute;2,779787
2018-10;Bulgarie;Consommation brute;3,045959
2018-11;Bulgarie;Consommation brute;3,452097
2018-12;Bulgarie;Consommation brute;4,023489
2019-01;Bulgarie;Consommation brute;4,144773
2019-02;Bulgarie;Consommation brute;3,456607
2019-03;Bulgarie;Consommation brute;3,219676
2019-04;Bulgarie;Consommation brute;2,954721
2019-05;Bulgarie;Consommation brute;2,78827
2019-06;Bulgarie;Consommation brute;2,719138
2019-07;Bulgarie;Consommation brute;2,919697
2019-08;Bulgarie;Consommation brute;2,930161
2019-09;Bulgarie;Consommation brute;2,727366
2019-10;Bulgarie;Consommation brute;2,887082
2019-11;Bulgarie;Consommation brute;3,115316
2019-12;Bulgarie;Consommation brute;3,634947
2020-01;Bulgarie;Consommation brute;3,933256
2020-02;Bulgarie;Consommation brute;3,456972
2020-03;Bulgarie;Consommation brute;3,317661
2020-04;Bulgarie;Consommation brute;2,769449
2020-05;Bulgarie;Consommation brute;2,537375
2020-06;Bulgarie;Consommation brute;2,546898
2020-07;Bulgarie;Consommation brute;2,819173
2020-08;Bulgarie;Consommation brute;2,762008
2020-09;Bulgarie;Consommation brute;2,635092
2020-10;Bulgarie;Consommation brute;2,846703
2020-11;Bulgarie;Consommation brute;3,293503
2020-12;Bulgarie;Consommation brute;3,585657
2021-01;Bulgarie;Consommation brute;3,765413
2021-02;Bulgarie;Consommation brute;3,350012
2021-03;Bulgarie;Consommation brute;3,6404
2021-04;Bulgarie;Consommation brute;3,137602
2021-05;Bulgarie;Consommation brute;2,679454
2021-06;Bulgarie;Consommation brute;2,705599
2021-07;Bulgarie;Consommation brute;3,06322
2021-08;Bulgarie;Consommation brute;3,01352
2021-09;Bulgarie;Consommation brute;2,758178
2021-10;Bulgarie;Consommation brute;3,165689
2021-11;Bulgarie;Consommation brute;3,318434
2021-12;Bulgarie;Consommation brute;3,813845
2022-01;Bulgarie;Consommation brute;4,034974
2022-02;Bulgarie;Consommation brute;3,448641
2022-03;Bulgarie;Consommation brute;3,866962
2022-04;Bulgarie;Consommation brute;2,968212
2022-05;Bulgarie;Consommation brute;2,777092
2022-06;Bulgarie;Consommation brute;2,74242
2022-07;Bulgarie;Consommation brute;2,949328489
2022-08;Bulgarie;Consommation brute;2,8790995
2022-09;Bulgarie;Consommation brute;2,59392142
2022-10;Bulgarie;Consommation brute;2,762832271
2022-11;Bulgarie;Consommation brute;3,166721786
2022-12;Bulgarie;Consommation brute;3,64224719
2023-01;Bulgarie;Consommation brute;3,720728746
2023-02;Bulgarie;Consommation brute;3,492343083
2023-03;Bulgarie;Consommation brute;3,294453615
2023-04;Bulgarie;Consommation brute;2,848691938
2023-05;Bulgarie;Consommation brute;2,582193911
2023-06;Bulgarie;Consommation brute;2,426511379
2023-07;Bulgarie;Consommation brute;2,824091152
2023-08;Bulgarie;Consommation brute;2,78082583
2023-09;Bulgarie;Consommation brute;2,577173481
2023-10;Bulgarie;Consommation brute;2,65357001
2023-11;Bulgarie;Consommation brute;3,156965539
2023-12;Bulgarie;Consommation brute;3,704659076
2024-01;Bulgarie;Consommation brute;4,002895877
2024-02;Bulgarie;Consommation brute;3,189384817
2024-03;Bulgarie;Consommation brute;3,172718915
2024-04;Bulgarie;Consommation brute;2,57627302
2024-05;Bulgarie;Consommation brute;2,544825191
2024-06;Bulgarie;Consommation brute;2,62562361
2024-07;Bulgarie;Consommation brute;3,008389931
2024-08;Bulgarie;Consommation brute;2,859299688
2024-09;Bulgarie;Consommation brute;2,565459243
2024-10;Bulgarie;Consommation brute;2,809785293
2024-11;Bulgarie;Consommation brute;3,524897822
2024-12;Bulgarie;Consommation brute;3,8876514
2025-01;Bulgarie;Consommation brute;4,052449953
2025-02;Bulgarie;Consommation brute;3,94589053
2025-03;Bulgarie;Consommation brute;3,181342936
2025-04;Bulgarie;Consommation brute;2,902851978
2025-05;Bulgarie;Consommation brute;2,552460351
2025-06;Bulgarie;Consommation brute;2,609802789
2025-07;Bulgarie;Consommation brute;2,975779324
2025-08;Bulgarie;Consommation brute;2,770930278
2025-09;Bulgarie;Consommation brute;2,576704587
2025-10;Bulgarie;Consommation brute;3,168849632
2025-11;Bulgarie;Consommation brute;3,247685992
2016-01;République tchèque;Consommation brute;6,214169283
2016-02;République tchèque;Consommation brute;5,592637751
2016-03;République tchèque;Consommation brute;5,734229622
2016-04;République tchèque;Consommation brute;5,234190327
2016-05;République tchèque;Consommation brute;5,175999035
2016-06;République tchèque;Consommation brute;4,913429611
2016-07;République tchèque;Consommation brute;4,807712424
2016-08;République tchèque;Consommation brute;4,9426774
2016-09;République tchèque;Consommation brute;5,006748108
2016-10;République tchèque;Consommation brute;5,547085009
2016-11;République tchèque;Consommation brute;5,841592944
2016-12;République tchèque;Consommation brute;6,08181108
2017-01;République tchèque;Consommation brute;6,755495435
2017-02;République tchèque;Consommation brute;5,768303516
2017-03;République tchèque;Consommation brute;5,809372404
2017-04;République tchèque;Consommation brute;5,325663262
2017-05;République tchèque;Consommation brute;5,205400325
2017-06;République tchèque;Consommation brute;5,020393314
2017-07;République tchèque;Consommation brute;4,852305147
2017-08;République tchèque;Consommation brute;5,025064288
2017-09;République tchèque;Consommation brute;5,075985177
2017-10;République tchèque;Consommation brute;5,559263071
2017-11;République tchèque;Consommation brute;5,820805512
2017-12;République tchèque;Consommation brute;5,916006439
2018-01;République tchèque;Consommation brute;6,182077229
2018-02;République tchèque;Consommation brute;5,965887315
2018-03;République tchèque;Consommation brute;6,402356944
2018-04;République tchèque;Consommation brute;5,193515577
2018-05;République tchèque;Consommation brute;5,258919939
2018-06;République tchèque;Consommation brute;5,129934428
2018-07;République tchèque;Consommation brute;4,998006463
2018-08;République tchèque;Consommation brute;5,182537668
2018-09;République tchèque;Consommation brute;4,989192771
2018-10;République tchèque;Consommation brute;5,551332703
2018-11;République tchèque;Consommation brute;5,901680995
2018-12;République tchèque;Consommation brute;5,96631899
2019-01;République tchèque;Consommation brute;6,528124515
2019-02;République tchèque;Consommation brute;5,707429904
2019-03;République tchèque;Consommation brute;5,83222147
2019-04;République tchèque;Consommation brute;5,32540695
2019-05;République tchèque;Consommation brute;5,395600323
2019-06;République tchèque;Consommation brute;5,060186012
2019-07;République tchèque;Consommation brute;4,987276575
2019-08;République tchèque;Consommation brute;5,055296239
2019-09;République tchèque;Consommation brute;5,11356579
2019-10;République tchèque;Consommation brute;5,589953519
2019-11;République tchèque;Consommation brute;5,757626578
2019-12;République tchèque;Consommation brute;5,794657648
2020-01;République tchèque;Consommation brute;6,39268145
2020-02;République tchèque;Consommation brute;5,860957583
2020-03;République tchèque;Consommation brute;5,882461616
2020-04;République tchèque;Consommation brute;4,723511205
2020-05;République tchèque;Consommation brute;4,722568311
2020-06;République tchèque;Consommation brute;4,707532604
2020-07;République tchèque;Consommation brute;4,757190205
2020-08;République tchèque;Consommation brute;4,856451909
2020-09;République tchèque;Consommation brute;5,011220283
2020-10;République tchèque;Consommation brute;5,555394012
2020-11;République tchèque;Consommation brute;5,850643088
2020-12;République tchèque;Consommation brute;5,969864632
2021-01;République tchèque;Consommation brute;6,376218859
2021-02;République tchèque;Consommation brute;5,968889917
2021-03;République tchèque;Consommation brute;6,185278811
2021-04;République tchèque;Consommation brute;5,524641452
2021-05;République tchèque;Consommation brute;5,358415002
2021-06;République tchèque;Consommation brute;5,058692794
2021-07;République tchèque;Consommation brute;4,911515359
2021-08;République tchèque;Consommation brute;4,900363858
2021-09;République tchèque;Consommation brute;4,976198925
2021-10;République tchèque;Consommation brute;5,487774352
2021-11;République tchèque;Consommation brute;5,826360177
2021-12;République tchèque;Consommation brute;6,064818968
2022-01;République tchèque;Consommation brute;6,330425869
2022-02;République tchèque;Consommation brute;5,623516481
2022-03;République tchèque;Consommation brute;6,095688344
2022-04;République tchèque;Consommation brute;5,416370034
2022-05;République tchèque;Consommation brute;5,129427448
2022-06;République tchèque;Consommation brute;4,910644973
2022-07;République tchèque;Consommation brute;4,645542168
2022-08;République tchèque;Consommation brute;4,765828689
2022-09;République tchèque;Consommation brute;4,857326449
2022-10;République tchèque;Consommation brute;5,163329554
2022-11;République tchèque;Consommation brute;5,607521866
2022-12;République tchèque;Consommation brute;5,884267953
2023-01;République tchèque;Consommation brute;5,943294174
2023-02;République tchèque;Consommation brute;5,501088722
2023-03;République tchèque;Consommation brute;5,687035271
2023-04;République tchèque;Consommation brute;5,111856918
2023-05;République tchèque;Consommation brute;4,792659493
2023-06;République tchèque;Consommation brute;4,572769164
2023-07;République tchèque;Consommation brute;4,398931734
2023-08;République tchèque;Consommation brute;4,595453703
2023-09;République tchèque;Consommation brute;4,511342449
2023-10;République tchèque;Consommation brute;4,968790746
2023-11;République tchèque;Consommation brute;5,310262419
2023-12;République tchèque;Consommation brute;5,530502228
2024-01;République tchèque;Consommation brute;6,146753487
2024-02;République tchèque;Consommation brute;5,282774401
2024-03;République tchèque;Consommation brute;5,328871285
2024-04;République tchèque;Consommation brute;4,850798429
2024-05;République tchèque;Consommation brute;4,708650142
2024-06;République tchèque;Consommation brute;4,589060291
2024-07;République tchèque;Consommation brute;4,506189059
2024-08;République tchèque;Consommation brute;4,542928596
2024-09;République tchèque;Consommation brute;4,656719014
2024-10;République tchèque;Consommation brute;5,154182509
2024-11;République tchèque;Consommation brute;5,585161822
2024-12;République tchèque;Consommation brute;5,571088198
2025-01;République tchèque;Consommation brute;6,060991547
2025-02;République tchèque;Consommation brute;5,650443652
2025-03;République tchèque;Consommation brute;5,610650958
2025-04;République tchèque;Consommation brute;4,938284283
2025-05;République tchèque;Consommation brute;4,87334496
2025-06;République tchèque;Consommation brute;4,724698393
2025-07;République tchèque;Consommation brute;4,687890472
2025-08;République tchèque;Consommation brute;4,660992149
2025-09;République tchèque;Consommation brute;4,714057718
2025-10;République tchèque;Consommation brute;5,330470087
2025-11;République tchèque;Consommation brute;5,646163354
2016-01;Allemagne;Consommation brute;45,0741263
2016-02;Allemagne;Consommation brute;42,92483828
2016-03;Allemagne;Consommation brute;43,86203635
2016-04;Allemagne;Consommation brute;40,60502774
2016-05;Allemagne;Consommation brute;40,19420089
2016-06;Allemagne;Consommation brute;39,72183008
2016-07;Allemagne;Consommation brute;40,55101387
2016-08;Allemagne;Consommation brute;40,16954891
2016-09;Allemagne;Consommation brute;39,45565396
2016-10;Allemagne;Consommation brute;42,32177608
2016-11;Allemagne;Consommation brute;44,50487744
2016-12;Allemagne;Consommation brute;44,54105254
2017-01;Allemagne;Consommation brute;47,42784095
2017-02;Allemagne;Consommation brute;42,24523238
2017-03;Allemagne;Consommation brute;44,51197513
2017-04;Allemagne;Consommation brute;40,05048725
2017-05;Allemagne;Consommation brute;41,10166713
2017-06;Allemagne;Consommation brute;39,39139338
2017-07;Allemagne;Consommation brute;40,517702
2017-08;Allemagne;Consommation brute;40,16841952
2017-09;Allemagne;Consommation brute;39,9600673
2017-10;Allemagne;Consommation brute;42,43422849
2017-11;Allemagne;Consommation brute;44,21258293
2017-12;Allemagne;Consommation brute;44,76796299
2018-01;Allemagne;Consommation brute;46,52420195
2018-02;Allemagne;Consommation brute;42,96867596
2018-03;Allemagne;Consommation brute;46,0337208
2018-04;Allemagne;Consommation brute;40,21083931
2018-05;Allemagne;Consommation brute;40,54323881
2018-06;Allemagne;Consommation brute;40,31466323
2018-07;Allemagne;Consommation brute;40,95679021
2018-08;Allemagne;Consommation brute;41,20092975
2018-09;Allemagne;Consommation brute;40,20745842
2018-10;Allemagne;Consommation brute;43,14248938
2018-11;Allemagne;Consommation brute;43,56562399
2018-12;Allemagne;Consommation brute;43,55413354
2019-01;Allemagne;Consommation brute;46,4523835
2019-02;Allemagne;Consommation brute;41,34576552
2019-03;Allemagne;Consommation brute;43,69880671
2019-04;Allemagne;Consommation brute;39,48647411
2019-05;Allemagne;Consommation brute;40,62331223
2019-06;Allemagne;Consommation brute;38,12473293
2019-07;Allemagne;Consommation brute;40,92676189
2019-08;Allemagne;Consommation brute;39,5440477
2019-09;Allemagne;Consommation brute;39,40932577
2019-10;Allemagne;Consommation brute;42,32533114
2019-11;Allemagne;Consommation brute;43,0154823
2019-12;Allemagne;Consommation brute;42,41533818
2020-01;Allemagne;Consommation brute;45,33345021
2020-02;Allemagne;Consommation brute;43,12325099
2020-03;Allemagne;Consommation brute;42,89554477
2020-04;Allemagne;Consommation brute;36,50388387
2020-05;Allemagne;Consommation brute;37,08771003
2020-06;Allemagne;Consommation brute;36,46153529
2020-07;Allemagne;Consommation brute;38,43908051
2020-08;Allemagne;Consommation brute;38,50056182
2020-09;Allemagne;Consommation brute;38,68130831
2020-10;Allemagne;Consommation brute;42,65498146
2020-11;Allemagne;Consommation brute;42,7293923
2020-12;Allemagne;Consommation brute;42,94715213
2021-01;Allemagne;Consommation brute;45,63893252
2021-02;Allemagne;Consommation brute;41,75416633
2021-03;Allemagne;Consommation brute;44,92671588
2021-04;Allemagne;Consommation brute;41,05025958
2021-05;Allemagne;Consommation brute;40,23988948
2021-06;Allemagne;Consommation brute;39,49035651
2021-07;Allemagne;Consommation brute;40,61723773
2021-08;Allemagne;Consommation brute;39,41041447
2021-09;Allemagne;Consommation brute;39,50807332
2021-10;Allemagne;Consommation brute;43,16819776
2021-11;Allemagne;Consommation brute;43,90394347
2021-12;Allemagne;Consommation brute;44,89263973
2022-01;Allemagne;Consommation brute;46,29956985
2022-02;Allemagne;Consommation brute;42,31758131
2022-03;Allemagne;Consommation brute;43,97577779
2022-04;Allemagne;Consommation brute;40,10314326
2022-05;Allemagne;Consommation brute;39,88742716
2022-06;Allemagne;Consommation brute;37,36636884
2022-07;Allemagne;Consommation brute;38,3444873
2022-08;Allemagne;Consommation brute;37,45595294
2022-09;Allemagne;Consommation brute;37,35664683
2022-10;Allemagne;Consommation brute;38,49767296
2022-11;Allemagne;Consommation brute;39,78255477
2022-12;Allemagne;Consommation brute;40,90316185
2023-01;Allemagne;Consommation brute;42,16582333
2023-02;Allemagne;Consommation brute;38,13582479
2023-03;Allemagne;Consommation brute;40,91651053
2023-04;Allemagne;Consommation brute;36,14172571
2023-05;Allemagne;Consommation brute;36,33539342
2023-06;Allemagne;Consommation brute;35,46962582
2023-07;Allemagne;Consommation brute;36,25532059
2023-08;Allemagne;Consommation brute;36,31189553
2023-09;Allemagne;Consommation brute;35,79851097
2023-10;Allemagne;Consommation brute;38,76588389
2023-11;Allemagne;Consommation brute;41,10045955
2023-12;Allemagne;Consommation brute;40,98654195
2024-01;Allemagne;Consommation brute;44,10859799
2024-02;Allemagne;Consommation brute;39,95325334
2024-03;Allemagne;Consommation brute;40,21523148
2024-04;Allemagne;Consommation brute;37,73593154
2024-05;Allemagne;Consommation brute;35,98588337
2024-06;Allemagne;Consommation brute;35,70492393
2024-07;Allemagne;Consommation brute;36,98053349
2024-08;Allemagne;Consommation brute;36,91011467
2024-09;Allemagne;Consommation brute;36,66187433
2024-10;Allemagne;Consommation brute;38,49021948
2024-11;Allemagne;Consommation brute;41,37959448
2024-12;Allemagne;Consommation brute;41,38424905
2025-01;Allemagne;Consommation brute;44,17335676
2025-02;Allemagne;Consommation brute;40,06478754
2025-03;Allemagne;Consommation brute;40,60702033
2025-04;Allemagne;Consommation brute;36,33092731
2025-05;Allemagne;Consommation brute;36,25637288
2025-06;Allemagne;Consommation brute;35,2960161
2025-07;Allemagne;Consommation brute;37,02977587
2025-08;Allemagne;Consommation brute;35,36638348
2025-09;Allemagne;Consommation brute;36,48242555
2025-10;Allemagne;Consommation brute;40,63228259
2025-11;Allemagne;Consommation brute;41,4299513
