Date;Filière;Valeur (TWh);Nature
2015-08;Production éolienne;1,126091025;Données Consolidées
2015-09;Production éolienne;1,674529235;Données Consolidées
2015-10;Production éolienne;1,292109478;Données Consolidées
2015-11;Production éolienne;2,54487977;Données Consolidées
2015-12;Production éolienne;2,572774139;Données Consolidées
2016-01;Production éolienne;2,850363945;Données Consolidées
2016-02;Production éolienne;2,899854449;Données Consolidées
2016-03;Production éolienne;2,453641916;Données Consolidées
2016-04;Production éolienne;1,670149414;Données Consolidées
2016-05;Production éolienne;1,541870077;Données Consolidées
2016-06;Production éolienne;1,071145828;Données Consolidées
2016-07;Production éolienne;1,017766236;Données Consolidées
2016-08;Production éolienne;1,187715009;Données Consolidées
2016-09;Production éolienne;0,990726539;Données Consolidées
2016-10;Production éolienne;1,409801363;Données Consolidées
2016-11;Production éolienne;2,323655174;Données Consolidées
2016-12;Production éolienne;1,529318185;Données Consolidées
2017-01;Production éolienne;2,043715105;Données Consolidées
2017-02;Production éolienne;2,534326608;Données Consolidées
2017-03;Production éolienne;2,64743281;Données Consolidées
2017-04;Production éolienne;1,459997117;Données Consolidées
2017-05;Production éolienne;1,494177471;Données Consolidées
2017-06;Production éolienne;1,46862952;Données Consolidées
2017-07;Production éolienne;1,704786485;Données Consolidées
2017-08;Production éolienne;1,232375437;Données Consolidées
2017-09;Production éolienne;1,638291637;Données Consolidées
2017-10;Production éolienne;2,074851764;Données Consolidées
2017-11;Production éolienne;2,315354452;Données Consolidées
2017-12;Production éolienne;3,365612347;Données Consolidées
2018-01;Production éolienne;3,998781846;Données Consolidées
2018-02;Production éolienne;2,778074741;Données Consolidées
2018-03;Production éolienne;3,125905008;Données Consolidées
2018-04;Production éolienne;2,160852737;Données Consolidées
2018-05;Production éolienne;1,598885335;Données Consolidées
2018-06;Production éolienne;1,370421285;Données Consolidées
2018-07;Production éolienne;1,100474302;Données Consolidées
2018-08;Production éolienne;1,402971755;Données Consolidées
2018-09;Production éolienne;1,612137183;Données Consolidées
2018-10;Production éolienne;2,491466995;Données Consolidées
2018-11;Production éolienne;2,801367642;Données Consolidées
2018-12;Production éolienne;3,651540939;Données Consolidées
2019-01;Production éolienne;3,050435165;Données Consolidées
2019-02;Production éolienne;2,625034411;Données Consolidées
2019-03;Production éolienne;4,421031635;Données Consolidées
2019-04;Production éolienne;2,316183979;Données Consolidées
2019-05;Production éolienne;2,204962825;Données Consolidées
2019-06;Production éolienne;1,866695914;Données Consolidées
2019-07;Production éolienne;1,699200597;Données Consolidées
2019-08;Production éolienne;1,632582022;Données Consolidées
2019-09;Production éolienne;2,612926877;Données Consolidées
2019-10;Production éolienne;3,359795886;Données Consolidées
2019-11;Production éolienne;3,338164607;Données Consolidées
2019-12;Production éolienne;4,649236097;Données Consolidées
2020-01;Production éolienne;4,159034593;Données Consolidées
2020-02;Production éolienne;5,886467195;Données Consolidées
2020-03;Production éolienne;4,486351539;Données Consolidées
2020-04;Production éolienne;2,273310543;Données Consolidées
2020-05;Production éolienne;2,653211601;Données Consolidées
2020-06;Production éolienne;2,043719375;Données Consolidées
2020-07;Production éolienne;2,0985652;Données Consolidées
2020-08;Production éolienne;2,040062201;Données Consolidées
2020-09;Production éolienne;2,140145432;Données Consolidées
2020-10;Production éolienne;4,322241909;Données Consolidées
2020-11;Production éolienne;3,167235663;Données Consolidées
2020-12;Production éolienne;4,411615265;Données Consolidées
2021-01;Production éolienne;3,965656689;Données Consolidées
2021-02;Production éolienne;4,255260635;Données Consolidées
2021-03;Production éolienne;3,705755464;Données Consolidées
2021-04;Production éolienne;2,945286344;Données Consolidées
2021-05;Production éolienne;3,94241923;Données Consolidées
2021-06;Production éolienne;1,341539517;Données Consolidées
2021-07;Production éolienne;2,301773264;Données Consolidées
2021-08;Production éolienne;2,22316739;Données Consolidées
2021-09;Production éolienne;1,655743293;Données Consolidées
2021-10;Production éolienne;3,490455014;Données Consolidées
2021-11;Production éolienne;2,728709988;Données Consolidées
2021-12;Production éolienne;4,351562785;Données Consolidées
2022-01;Production éolienne;3,154244707;Données Consolidées
2022-02;Production éolienne;5,340797263;Données Consolidées
2022-03;Production éolienne;3,519739171;Données Consolidées
2022-04;Production éolienne;3,592196534;Données Consolidées
2022-05;Production éolienne;2,127249436;Données Consolidées
2022-06;Production éolienne;1,844452706;Données Consolidées
2022-07;Production éolienne;1,886441278;Données Consolidées
2022-08;Production éolienne;2,077778922;Données Consolidées
2022-09;Production éolienne;2,310111858;Données Consolidées
2022-10;Production éolienne;3,53387803;Données Consolidées
2022-11;Production éolienne;4,880995287;Données Consolidées
2022-12;Production éolienne;4,613283228;Données Consolidées
2023-01;Production éolienne;5,657590127;Données Consolidées
2023-02;Production éolienne;3,425755608;Données Consolidées
2023-03;Production éolienne;5,952250165;Données Consolidées
2023-04;Production éolienne;3,846741274;Données Consolidées
2023-05;Production éolienne;3,694918668;Données Consolidées
2023-06;Production éolienne;2,107654023;Données Consolidées
2023-07;Production éolienne;3,257728255;Données Consolidées
2023-08;Production éolienne;2,781521224;Données Consolidées
2023-09;Production éolienne;2,38620166;Données Consolidées
2023-10;Production éolienne;4,542094409;Données Consolidées
2023-11;Production éolienne;6,476702058;Données Consolidées
2023-12;Production éolienne;6,76717859;Données Consolidées
2024-01;Production éolienne;5,452773181;Données Consolidées
2024-02;Production éolienne;5,821825508;Données Consolidées
2024-03;Production éolienne;4,565656107;Données Consolidées
2024-04;Production éolienne;4,6314247;Données Consolidées
2024-05;Production éolienne;2,58047873;Données Consolidées
2024-06;Production éolienne;2,383273954;Données Consolidées
2024-07;Production éolienne;2,142191696;Données Consolidées
2024-08;Production éolienne;2,152393294;Données Consolidées
2024-09;Production éolienne;4,126944008;Données Consolidées
2024-10;Production éolienne;3,368955585;Données Consolidées
2024-11;Production éolienne;4,134301615;Données Consolidées
2024-12;Production éolienne;5,484877327;Données Consolidées
2025-01;Production éolienne;5,751794724;Données Consolidées
2025-02;Production éolienne;3,678619917;Données Consolidées
2025-03;Production éolienne;4,150519539;Données Consolidées
2025-04;Production éolienne;3,671430596;Données Consolidées
2025-05;Production éolienne;3,458926041;Données Consolidées
2025-06;Production éolienne;2,451996489;Données Consolidées
2025-07;Production éolienne;2,901745602;Données Consolidées
2025-08;Production éolienne;2,631773568;Données Consolidées
2025-09;Production éolienne;3,978884763;Données Consolidées
2025-10;Production éolienne;5,507025452;Données Consolidées
2025-11;Production éolienne;5,49089351;Données Consolidées
2010-01;Eolien en mer ;;Données Consolidées
2010-02;Eolien en mer ;;Données Consolidées
2010-03;Eolien en mer ;;Données Consolidées
2010-04;Eolien en mer ;;Données Consolidées
2010-05;Eolien en mer ;;Données Consolidées
2010-06;Eolien en mer ;;Données Consolidées
2010-07;Eolien en mer ;;Données Consolidées
2010-08;Eolien en mer ;;Données Consolidées
2010-09;Eolien en mer ;;Données Consolidées
2010-10;Eolien en mer ;;Données Consolidées
2010-11;Eolien en mer ;;Données Consolidées
2010-12;Eolien en mer ;;Données Consolidées
2011-01;Eolien en mer ;;Données Consolidées
2011-02;Eolien en mer ;;Données Consolidées
2011-03;Eolien en mer ;;Données Consolidées
2011-04;Eolien en mer ;;Données Consolidées
2011-05;Eolien en mer ;;Données Consolidées
2011-06;Eolien en mer ;;Données Consolidées
2011-07;Eolien en mer ;;Données Consolidées
2011-08;Eolien en mer ;;Données Consolidées
2011-09;Eolien en mer ;;Données Consolidées
2011-10;Eolien en mer ;;Données Consolidées
2011-11;Eolien en mer ;;Données Consolidées
2011-12;Eolien en mer ;;Données Consolidées
2012-01;Eolien en mer ;;Données Consolidées
2012-02;Eolien en mer ;;Données Consolidées
2012-03;Eolien en mer ;;Données Consolidées
2012-04;Eolien en mer ;;Données Consolidées
2012-05;Eolien en mer ;;Données Consolidées
2012-06;Eolien en mer ;;Données Consolidées
2012-07;Eolien en mer ;;Données Consolidées
2012-08;Eolien en mer ;;Données Consolidées
2012-09;Eolien en mer ;;Données Consolidées
2012-10;Eolien en mer ;;Données Consolidées
2012-11;Eolien en mer ;;Données Consolidées
2012-12;Eolien en mer ;;Données Consolidées
2013-01;Eolien en mer ;;Données Consolidées
2013-02;Eolien en mer ;;Données Consolidées
2013-03;Eolien en mer ;;Données Consolidées
2013-04;Eolien en mer ;;Données Consolidées
2013-05;Eolien en mer ;;Données Consolidées
2013-06;Eolien en mer ;;Données Consolidées
2013-07;Eolien en mer ;;Données Consolidées
2013-08;Eolien en mer ;;Données Consolidées
2013-09;Eolien en mer ;;Données Consolidées
2013-10;Eolien en mer ;;Données Consolidées
2013-11;Eolien en mer ;;Données Consolidées
2013-12;Eolien en mer ;;Données Consolidées
2014-01;Eolien en mer ;;Données Consolidées
2014-02;Eolien en mer ;;Données Consolidées
2014-03;Eolien en mer ;;Données Consolidées
2014-04;Eolien en mer ;;Données Consolidées
2014-05;Eolien en mer ;;Données Consolidées
2014-06;Eolien en mer ;;Données Consolidées
2014-07;Eolien en mer ;;Données Consolidées
2014-08;Eolien en mer ;;Données Consolidées
2014-09;Eolien en mer ;;Données Consolidées
2014-10;Eolien en mer ;;Données Consolidées
2014-11;Eolien en mer ;;Données Consolidées
2014-12;Eolien en mer ;;Données Consolidées
2015-01;Eolien en mer ;;Données Consolidées
2015-02;Eolien en mer ;;Données Consolidées
2015-03;Eolien en mer ;;Données Consolidées
2015-04;Eolien en mer ;;Données Consolidées
2015-05;Eolien en mer ;;Données Consolidées
2015-06;Eolien en mer ;;Données Consolidées
2015-07;Eolien en mer ;;Données Consolidées
2015-08;Eolien en mer ;;Données Consolidées
2015-09;Eolien en mer ;;Données Consolidées
2015-10;Eolien en mer ;;Données Consolidées
2015-11;Eolien en mer ;;Données Consolidées
2015-12;Eolien en mer ;;Données Consolidées
2016-01;Eolien en mer ;;Données Consolidées
2016-02;Eolien en mer ;;Données Consolidées
2016-03;Eolien en mer ;;Données Consolidées
2016-04;Eolien en mer ;;Données Consolidées
2016-05;Eolien en mer ;;Données Consolidées
2016-06;Eolien en mer ;;Données Consolidées
2016-07;Eolien en mer ;;Données Consolidées
2016-08;Eolien en mer ;;Données Consolidées
2016-09;Eolien en mer ;;Données Consolidées
2016-10;Eolien en mer ;;Données Consolidées
2016-11;Eolien en mer ;;Données Consolidées
2016-12;Eolien en mer ;;Données Consolidées
2017-01;Eolien en mer ;;Données Consolidées
2017-02;Eolien en mer ;;Données Consolidées
2017-03;Eolien en mer ;;Données Consolidées
2017-04;Eolien en mer ;;Données Consolidées
2017-05;Eolien en mer ;;Données Consolidées
2017-06;Eolien en mer ;;Données Consolidées
2017-07;Eolien en mer ;;Données Consolidées
2017-08;Eolien en mer ;;Données Consolidées
2017-09;Eolien en mer ;;Données Consolidées
2017-10;Eolien en mer ;;Données Consolidées
2017-11;Eolien en mer ;;Données Consolidées
2017-12;Eolien en mer ;;Données Consolidées
2018-01;Eolien en mer ;;Données Consolidées
2018-02;Eolien en mer ;;Données Consolidées
2018-03;Eolien en mer ;;Données Consolidées
2018-04;Eolien en mer ;;Données Consolidées
2018-05;Eolien en mer ;;Données Consolidées
2018-06;Eolien en mer ;;Données Consolidées
2018-07;Eolien en mer ;;Données Consolidées
2018-08;Eolien en mer ;;Données Consolidées
2018-09;Eolien en mer ;9,87E-07;Données Consolidées
2018-10;Eolien en mer ;2,45E-05;Données Consolidées
2018-11;Eolien en mer ;0,000141887;Données Consolidées
2018-12;Eolien en mer ;4,20E-05;Données Consolidées
2019-01;Eolien en mer ;0,000358366;Données Consolidées
2019-02;Eolien en mer ;0,000293651;Données Consolidées
2019-03;Eolien en mer ;0,000472989;Données Consolidées
2019-04;Eolien en mer ;0,00048829;Données Consolidées
2019-05;Eolien en mer ;0,000365082;Données Consolidées
2019-06;Eolien en mer ;0,000287875;Données Consolidées
2019-07;Eolien en mer ;0,000327827;Données Consolidées
2019-08;Eolien en mer ;0,00028357;Données Consolidées
2019-09;Eolien en mer ;0,000630707;Données Consolidées
2019-10;Eolien en mer ;0,000637437;Données Consolidées
2019-11;Eolien en mer ;0,000801185;Données Consolidées
2019-12;Eolien en mer ;0,000721084;Données Consolidées
2020-01;Eolien en mer ;0,000604389;Données Consolidées
2020-02;Eolien en mer ;0,000877834;Données Consolidées
2020-03;Eolien en mer ;0,000739134;Données Consolidées
2020-04;Eolien en mer ;0,000421528;Données Consolidées
2020-05;Eolien en mer ;0,000474904;Données Consolidées
2020-06;Eolien en mer ;0,000369403;Données Consolidées
2020-07;Eolien en mer ;0,000304386;Données Consolidées
2020-08;Eolien en mer ;0,000335151;Données Consolidées
2020-09;Eolien en mer ;0,000279833;Données Consolidées
2020-10;Eolien en mer ;0,000701624;Données Consolidées
2020-11;Eolien en mer ;0,000595125;Données Consolidées
2020-12;Eolien en mer ;0,000767695;Données Consolidées
2021-01;Eolien en mer ;0,000620161;Données Consolidées
2021-02;Eolien en mer ;0,000756154;Données Consolidées
2021-03;Eolien en mer ;0,00055222;Données Consolidées
2021-04;Eolien en mer ;0,000526195;Données Consolidées
2021-05;Eolien en mer ;0,000693038;Données Consolidées
2021-06;Eolien en mer ;0,000243623;Données Consolidées
2021-07;Eolien en mer ;0,00041825;Données Consolidées
2021-08;Eolien en mer ;0,000227912;Données Consolidées
2021-09;Eolien en mer ;0,000230742;Données Consolidées
2021-10;Eolien en mer ;0,000298356;Données Consolidées
2021-11;Eolien en mer ;0,000457969;Données Consolidées
2021-12;Eolien en mer ;0,000383167;Données Consolidées
2022-01;Eolien en mer ;0,00029348;Données Consolidées
2022-02;Eolien en mer ;0,000575045;Données Consolidées
2022-03;Eolien en mer ;0,000387701;Données Consolidées
2022-04;Eolien en mer ;0,000369006;Données Consolidées
2022-05;Eolien en mer ;0,000262631;Données Consolidées
2022-06;Eolien en mer ;0,002601932;Données Consolidées
2022-07;Eolien en mer ;0,019967378;Données Consolidées
2022-08;Eolien en mer ;0,041636045;Données Consolidées
2022-09;Eolien en mer ;0,08089306;Données Consolidées
2022-10;Eolien en mer ;0,12991374;Données Consolidées
2022-11;Eolien en mer ;0,16606335;Données Consolidées
2022-12;Eolien en mer ;0,177861117;Données Consolidées
2023-01;Eolien en mer ;0,18488367;Données Consolidées
2023-02;Eolien en mer ;0,093405313;Données Consolidées
2023-03;Eolien en mer ;0,196544778;Données Consolidées
2023-04;Eolien en mer ;0,120253749;Données Consolidées
2023-05;Eolien en mer ;0,140124204;Données Consolidées
2023-06;Eolien en mer ;0,064442418;Données Consolidées
2023-07;Eolien en mer ;0,100485824;Données Consolidées
2023-08;Eolien en mer ;0,108701844;Données Consolidées
2023-09;Eolien en mer ;0,119441425;Données Consolidées
2023-10;Eolien en mer ;0,251843115;Données Consolidées
2023-11;Eolien en mer ;0,284760614;Données Consolidées
2023-12;Eolien en mer ;0,222269911;Données Consolidées
2024-01;Eolien en mer ;0,286969743;Données Consolidées
2024-02;Eolien en mer ;0,36825052;Données Consolidées
2024-03;Eolien en mer ;0,311851373;Données Consolidées
2024-04;Eolien en mer ;0,350854532;Données Consolidées
2024-05;Eolien en mer ;0,280070644;Données Consolidées
2024-06;Eolien en mer ;0,238232502;Données Consolidées
2024-07;Eolien en mer ;0,256439369;Données Consolidées
2024-08;Eolien en mer ;0,260148585;Données Consolidées
2024-09;Eolien en mer ;0,395193269;Données Consolidées
2024-10;Eolien en mer ;0,318761736;Données Consolidées
2024-11;Eolien en mer ;0,388194756;Données Consolidées
2024-12;Eolien en mer ;0,5268223;Données Consolidées
2025-01;Eolien en mer ;0,45627225;Données Consolidées
2025-02;Eolien en mer ;0,373692616;Données Consolidées
2025-03;Eolien en mer ;0,389754656;Données Consolidées
2025-04;Eolien en mer ;0,397630866;Données Consolidées
2025-05;Eolien en mer ;0,364977285;Données Consolidées
2025-06;Eolien en mer ;0,259865825;Données Consolidées
2025-07;Eolien en mer ;0,346860398;Données Consolidées
2025-08;Eolien en mer ;0,365123105;Données Consolidées
2025-09;Eolien en mer ;0,50820669;Données Consolidées
2025-10;Eolien en mer ;0,68389889;Données Consolidées
2025-11;Eolien en mer ;0,771793705;Données Consolidées
2010-01;Eolien terrestre ;0,688;Données Consolidées
2010-02;Eolien terrestre ;0,98;Données Consolidées
2010-03;Eolien terrestre ;1,175;Données Consolidées
2010-04;Eolien terrestre ;0,731;Données Consolidées
2010-05;Eolien terrestre ;0,743;Données Consolidées
2010-06;Eolien terrestre ;0,581;Données Consolidées
2010-07;Eolien terrestre ;0,488;Données Consolidées
2010-08;Eolien terrestre ;0,684;Données Consolidées
2010-09;Eolien terrestre ;0,569;Données Consolidées
2010-10;Eolien terrestre ;1,075;Données Consolidées
2010-11;Eolien terrestre ;1,01;Données Consolidées
2010-12;Eolien terrestre ;1,003;Données Consolidées
2011-01;Eolien terrestre ;1,268;Données Consolidées
2011-02;Eolien terrestre ;0,9;Données Consolidées
2011-03;Eolien terrestre ;1,135;Données Consolidées
2011-04;Eolien terrestre ;0,688;Données Consolidées
2011-05;Eolien terrestre ;0,749;Données Consolidées
2011-06;Eolien terrestre ;0,886;Données Consolidées
2011-07;Eolien terrestre ;0,839;Données Consolidées
2011-08;Eolien terrestre ;0,687;Données Consolidées
2011-09;Eolien terrestre ;0,855;Données Consolidées
2011-10;Eolien terrestre ;1,07;Données Consolidées
2011-11;Eolien terrestre ;0,945;Données Consolidées
2011-12;Eolien terrestre ;2,053;Données Consolidées
2012-01;Eolien terrestre ;1,587;Données Consolidées
2012-02;Eolien terrestre ;1,123;Données Consolidées
2012-03;Eolien terrestre ;0,977;Données Consolidées
2012-04;Eolien terrestre ;1,572;Données Consolidées
2012-05;Eolien terrestre ;0,974;Données Consolidées
2012-06;Eolien terrestre ;0,994;Données Consolidées
2012-07;Eolien terrestre ;0,912;Données Consolidées
2012-08;Eolien terrestre ;0,907;Données Consolidées
2012-09;Eolien terrestre ;0,931;Données Consolidées
2012-10;Eolien terrestre ;1,355;Données Consolidées
2012-11;Eolien terrestre ;1,309;Données Consolidées
2012-12;Eolien terrestre ;2,29;Données Consolidées
2013-01;Eolien terrestre ;1,326;Données Consolidées
2013-02;Eolien terrestre ;1,463;Données Consolidées
2013-03;Eolien terrestre ;1,352;Données Consolidées
2013-04;Eolien terrestre ;1,49;Données Consolidées
2013-05;Eolien terrestre ;1,155;Données Consolidées
2013-06;Eolien terrestre ;1,16;Données Consolidées
2013-07;Eolien terrestre ;0,877;Données Consolidées
2013-08;Eolien terrestre ;0,739;Données Consolidées
2013-09;Eolien terrestre ;0,948;Données Consolidées
2013-10;Eolien terrestre ;1,612;Données Consolidées
2013-11;Eolien terrestre ;1,809;Données Consolidées
2013-12;Eolien terrestre ;2,011;Données Consolidées
2014-01;Eolien terrestre ;2,181930765;Données Consolidées
2014-02;Eolien terrestre ;2,472573395;Données Consolidées
2014-03;Eolien terrestre ;1,282373217;Données Consolidées
2014-04;Eolien terrestre ;1,048399965;Données Consolidées
2014-05;Eolien terrestre ;1,519585523;Données Consolidées
2014-06;Eolien terrestre ;0,955105605;Données Consolidées
2014-07;Eolien terrestre ;0,94654156;Données Consolidées
2014-08;Eolien terrestre ;0,975654709;Données Consolidées
2014-09;Eolien terrestre ;0,723096472;Données Consolidées
2014-10;Eolien terrestre ;1,269911121;Données Consolidées
2014-11;Eolien terrestre ;1,492060319;Données Consolidées
2014-12;Eolien terrestre ;2,106223207;Données Consolidées
2015-01;Eolien terrestre ;2,299499355;Données Consolidées
2015-02;Eolien terrestre ;1,910273513;Données Consolidées
2015-03;Eolien terrestre ;2,005330166;Données Consolidées
2015-04;Eolien terrestre ;1,452411474;Données Consolidées
2015-05;Eolien terrestre ;1,580470869;Données Consolidées
2015-06;Eolien terrestre ;1,254703138;Données Consolidées
2015-07;Eolien terrestre ;1,399122421;Données Consolidées
2015-08;Eolien terrestre ;1,126091025;Données Consolidées
2015-09;Eolien terrestre ;1,674529235;Données Consolidées
2015-10;Eolien terrestre ;1,292109478;Données Consolidées
2015-11;Eolien terrestre ;2,54487977;Données Consolidées
2015-12;Eolien terrestre ;2,572774139;Données Consolidées
2016-01;Eolien terrestre ;2,850363945;Données Consolidées
2016-02;Eolien terrestre ;2,899854449;Données Consolidées
2016-03;Eolien terrestre ;2,453641916;Données Consolidées
2016-04;Eolien terrestre ;1,670149414;Données Consolidées
2016-05;Eolien terrestre ;1,541870077;Données Consolidées
2016-06;Eolien terrestre ;1,071145828;Données Consolidées
2016-07;Eolien terrestre ;1,017766236;Données Consolidées
2016-08;Eolien terrestre ;1,187715009;Données Consolidées
2016-09;Eolien terrestre ;0,990726539;Données Consolidées
2016-10;Eolien terrestre ;1,409801363;Données Consolidées
2016-11;Eolien terrestre ;2,323655174;Données Consolidées
2016-12;Eolien terrestre ;1,529318185;Données Consolidées
2017-01;Eolien terrestre ;2,043715105;Données Consolidées
2017-02;Eolien terrestre ;2,534326608;Données Consolidées
2017-03;Eolien terrestre ;2,64743281;Données Consolidées
2017-04;Eolien terrestre ;1,459997117;Données Consolidées
2017-05;Eolien terrestre ;1,494177471;Données Consolidées
2017-06;Eolien terrestre ;1,46862952;Données Consolidées
2017-07;Eolien terrestre ;1,704786485;Données Consolidées
2017-08;Eolien terrestre ;1,232375437;Données Consolidées
2017-09;Eolien terrestre ;1,638291637;Données Consolidées
2017-10;Eolien terrestre ;2,074851764;Données Consolidées
2017-11;Eolien terrestre ;2,315354452;Données Consolidées
2017-12;Eolien terrestre ;3,365612347;Données Consolidées
2018-01;Eolien terrestre ;3,998781846;Données Consolidées
2018-02;Eolien terrestre ;2,778074741;Données Consolidées
2018-03;Eolien terrestre ;3,125905008;Données Consolidées
2018-04;Eolien terrestre ;2,160852737;Données Consolidées
2018-05;Eolien terrestre ;1,598885335;Données Consolidées
2018-06;Eolien terrestre ;1,370421285;Données Consolidées
2018-07;Eolien terrestre ;1,100474302;Données Consolidées
2018-08;Eolien terrestre ;1,402971755;Données Consolidées
2018-09;Eolien terrestre ;1,612136196;Données Consolidées
2018-10;Eolien terrestre ;2,49144254;Données Consolidées
2018-11;Eolien terrestre ;2,801225755;Données Consolidées
2018-12;Eolien terrestre ;3,651498939;Données Consolidées
2019-01;Eolien terrestre ;3,050076799;Données Consolidées
2019-02;Eolien terrestre ;2,62474076;Données Consolidées
2019-03;Eolien terrestre ;4,420558646;Données Consolidées
2019-04;Eolien terrestre ;2,315695689;Données Consolidées
2019-05;Eolien terrestre ;2,204597743;Données Consolidées
2019-06;Eolien terrestre ;1,866408039;Données Consolidées
2019-07;Eolien terrestre ;1,69887277;Données Consolidées
2019-08;Eolien terrestre ;1,632298452;Données Consolidées
2019-09;Eolien terrestre ;2,61229617;Données Consolidées
2019-10;Eolien terrestre ;3,359158449;Données Consolidées
2019-11;Eolien terrestre ;3,337363422;Données Consolidées
2019-12;Eolien terrestre ;4,648515013;Données Consolidées
2020-01;Eolien terrestre ;4,158430204;Données Consolidées
2020-02;Eolien terrestre ;5,885589361;Données Consolidées
2020-03;Eolien terrestre ;4,485612405;Données Consolidées
2020-04;Eolien terrestre ;2,272889015;Données Consolidées
2020-05;Eolien terrestre ;2,652736697;Données Consolidées
2020-06;Eolien terrestre ;2,043349972;Données Consolidées
2020-07;Eolien terrestre ;2,098260814;Données Consolidées
2020-08;Eolien terrestre ;2,03972705;Données Consolidées
2020-09;Eolien terrestre ;2,139865599;Données Consolidées
2020-10;Eolien terrestre ;4,321540285;Données Consolidées
2020-11;Eolien terrestre ;3,166640538;Données Consolidées
2020-12;Eolien terrestre ;4,41084757;Données Consolidées
2021-01;Eolien terrestre ;3,965036528;Données Consolidées
2021-02;Eolien terrestre ;4,254504481;Données Consolidées
2021-03;Eolien terrestre ;3,705203244;Données Consolidées
2021-04;Eolien terrestre ;2,944760149;Données Consolidées
2021-05;Eolien terrestre ;3,941726192;Données Consolidées
2021-06;Eolien terrestre ;1,341295894;Données Consolidées
2021-07;Eolien terrestre ;2,301355014;Données Consolidées
2021-08;Eolien terrestre ;2,222939478;Données Consolidées
2021-09;Eolien terrestre ;1,655512551;Données Consolidées
2021-10;Eolien terrestre ;3,490156658;Données Consolidées
2021-11;Eolien terrestre ;2,728252019;Données Consolidées
2021-12;Eolien terrestre ;4,351179618;Données Consolidées
2022-01;Eolien terrestre ;3,153951227;Données Consolidées
2022-02;Eolien terrestre ;5,340222218;Données Consolidées
2022-03;Eolien terrestre ;3,51935147;Données Consolidées
2022-04;Eolien terrestre ;3,591827527;Données Consolidées
2022-05;Eolien terrestre ;2,126986804;Données Consolidées
2022-06;Eolien terrestre ;1,841850775;Données Consolidées
2022-07;Eolien terrestre ;1,8664739;Données Consolidées
2022-08;Eolien terrestre ;2,036142877;Données Consolidées
